Base	Collocatif	Compositionnel	Phrase	ID	Corpus	URL
vie	saine	Oui	Faut que tu dormes plus, il lui disait, faut que tu te reposes, faut que t'arrêtes de sortir comme ça tous les soirs si t'es pas capable d'assumer le lendemain au boulot, t'as trente ans un gamin une gentille femme un loyer à payer, faut que tu ralentisses et que tu mènes une vie plus saine, t'auras pas toujours un patron sympa comme moi pour te payer à bayer aux corneilles dès midi sonné.	s228 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s228&idxml=LITT.fr.ADAM.xml&user=userP&token=3991bf0fde6914283d3b438b6215f011
personne	saine	Oui	Une personne saine et enjouée, me dis-je, n'aurait pas fait ce que je faisais.	s663 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s663&idxml=LITT.fr.BELLETTO.xml&user=userP&token=54a0038f696a912846cac119469eae37
peau	saine	Oui	La louve s'élança aussitôt vers le petit et entreprit de le nettoyer à grands coups de langue, léchant la carapace écailleuse qui fondit dans l'instant, révélant sous la membrane visqueuse une peau saine et rose.	s8737 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s8737&idxml=LITT.fr.BRASEY.xml&user=userP&token=31aec4b69758bc245bb5d4df902dc6aa
nourriture	saine	Oui	Une nourriture saine et complète lui suffit.	s4110 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s4110&idxml=LITT.fr.DIROLLO.xml&user=userP&token=afa80e34b5f95f1479a97f513605c6c8
chair	saine	Oui	Et puis, cette propreté, ce visage massif et diaphane, cette foulée aérienne, et cette odeur de chair saine, jamais Junior ne les a connus.	s2317 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2317&idxml=LITT.fr.KHADRA.xml&user=user&token=3cd0621bde0326e351a292b2725b9d2d
écorces	saines	Oui	Du revers de ma lame j'écartais une feuille quand un jeune arbre aux écorces saines et luisantes m'apparut dans toute sa beauté.	s856 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s856&idxml=LITT.fr.AUGIERAS.xml&user=userP&token=e87d74286fe9c737a00fc50cdbe013f0
dents	saines	Oui	Du coin de l'oeil, je l'examine : le teint rose, la peau bien tendue sur les os qu'on devine à peine sous une suffisante couche de graisse, les dents saines et blanches, des yeux obliques, rieurs et bleus.	s364 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s364&idxml=LITT.fr.LANGFUS.xml&user=user&token=1225e45ce5f35dffe69bfcf79551d22e
bouche	saine	Oui	– Au moins, toi, dit-elle en me souriant de sa large bouche saine et éclatante, tu es l'homme nature.	s21398 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s21398&idxml=LITT.fr.MERLE2.xml&user=user&token=a7855ba7979359acbffb213cde771ec5
jambe	saine	Oui	Sa jambe saine, sur laquelle il avait transféré tout son poids, tremblait de fatigue.	s12962 	SF : Corpus de science-fiction de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s12962&idxml=SF.fr.BORDAGE.xml&user=userP&token=de4bafbe504094c855f8539bfb6e20ac
feuilles	saines	Oui	À bout de souffle, il s'appuya contre un saule et nota qu'on aurait dû élaguer l'arbre au printemps ; ses feuilles étaient trop petites pour être saines.	s148 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s148&idxml=LITT.fr.BROUILLET.xml&user=userP&token=865447ee52b5eabfbcf70318fddb695d
soleil	plomb	Non	Les hommes rentrèrent vers une heure de l'après-midi, par une chaleur presque torride, sous un soleil de plomb.	s963 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s963&idxml=LITT.fr.CARRIERE.xml&user=userP&token=64c968fef0f98d03689b6243536e0294
soleil	plomb	Non	Six heures de marche harassantes sous un soleil de plomb l'attendaient.	s2125 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2125&idxml=LITT.fr.GARDE.xml&user=userP&token=2c6df97e437cec10bbb4de514de6fc78
soleil	plomb	Non	Ce sont majoritairement des femmes qui piochent et transportent les gravats sous un soleil de plomb.	s340696 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s340696&idxml=lfi2010_2011.xml&user=userP&token=907b9a0d313c85d4dba85730a3b90541
soleil	plomb	Non	Sous un soleil de plomb, le curé entraîne une des filles pour quelques pas de danse sur le parking du supermarché.	s28223 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s28223&idxml=libe2010_2015.xml&user=userP&token=0488b15771004130dad2806a5baeffd4
soleil	plomb	Non	Tôt, hier matin, sous un soleil de plomb, une foule de fidèles convergeait vers l'esplanade située sur le front de mer, dans le centre de Beyrouth.	s214606 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s214606&idxml=libe2010_2015.xml&user=userP&token=f19f2a7c5e98fbccd5fdefe9017bd92e
soleil	plomb	Non	La famille Schaltzmann emménage provisoirement à Esslingen le 11 juillet 1977, sous un soleil de plomb.	s411 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s411&idxml=LITT.fr.DANTEC.xml&user=userP&token=1cee0cbae9e955d8619267fc5496bbb4
soleil	plomb	Non	Il ne pourrait certainement pas résister au soleil de plomb et on m'appellerait encore pour le surveiller sur son matelas.	s1255 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1255&idxml=LITT.fr.GRISHAM.xml&user=userP&token=69ecd33fefd2911a13f6b21785bfb5f3
soleil	plomb	Non	Les visiteurs déambulent sous un soleil de plomb, à la recherche des rares lieux où joueront quand même quelques comédiens.	s2 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2&idxml=LITT.fr.GALLAY.xml&user=userP&token=669c3129eff7ab70ca7ddbacd251f38e
soleil	plomb	Non	Et marcher 3 kilomètres sous un soleil de plomb avec des morceaux de statue risque d'être fastidieux pour les touristes...	s200419 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s200419&idxml=libe2010_2015.xml&user=userP&token=66f4e907ea4f55176d6c73eaa29584f9
soleil	plomb	Non	Les linges qui flottent aux fenêtres des salles de classe protègent tant bien que mal les déplacés d'un soleil de plomb.	s156299 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s156299&idxml=lm2010_2015.xml&user=userP&token=d4883d158fff3f9a490deb586616c182
balles	plomb	Oui	Il avait apporté avec lui un mousquet de cinq pieds de long dont il avait démonté le canon pour qu'il soit facile à transporter, sa fourquine, un récipient de poudre noire et un sac contenant quelques balles de plomb et des mèches.	s7495 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7495&idxml=LITT.fr.DAILLON.xml&user=userP&token=755f415dc6ed9334d513520b0418ee13
lamelles	plomb	Oui	À un détail près : un minuscule étui de cigarettes, qui renfermait un sachet de poudre verte entouré de lamelles de plomb isolantes.	s34008 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s34008&idxml=lfi2010_2011.xml&user=user&token=09ee1a68fc1041e056d4962a16a42c98
balle	plomb	Oui	Il lui aurait suffi, pour s'apercevoir de son erreur, de tirer au pistolet une balle de plomb d'une once contre une boule de chiffons serrés d'un poids supérieur de deux livres.	s5147 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5147&idxml=LITT.fr.GOLON~GOLON.xml&user=userP&token=c27d472bd8b661dd368282d38129ace8
noyaux	plomb	Oui	La température qu'atteint la matière formée lors du choc entre deux noyaux de plomb est de l'ordre de 100 000 fois celle régnant au coeur du Soleil.	s46218 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s46218&idxml=lfi2010_2011.xml&user=user&token=6f69257f750c50c6fc76c30abcd058e8
cartouches	plomb	Oui	A l'époque, ils avaient formellement identifié les hommes rejugés pour avoir tiré des cartouches de plomb sur des policiers lors des émeutes qui avaient éclaté en 2007 après la mort accidentelle de deux adolescents.	s74369 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s74369&idxml=libe2010_2015.xml&user=user&token=9db5a19d9df727d90c04bfcba7b74ecf
billes	plomb	Oui	À la costumière, Dussollier a demandé de remplir le bas de son pantalon de billes de plomb, pour alourdir son pas.	s66308 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s66308&idxml=lfi2010_2011.xml&user=userP&token=8cb242ad11bb1f464578ae9cc6be521f
boulet	plomb	Oui	Il n'y a là que des figures connues : l'homme le plus fort du monde, capable d'envoyer sur la lune un boulet de plomb, la femme à barbe à la voix cristalline, le lanceur de couteaux colérique, la femme animale que l'on tient en cage...	s20005 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s20005&idxml=libe2010_2015.xml&user=userP&token=a20f1e85e54f194ebae4e449cb26c778
bille	plomb	Oui	Erg rauqua sous l'extraction à la pince d'une bille de plomb.	s4361 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s4361&idxml=FY.fr.DAMASIO.xml&user=userP&token=16ab077e7492b28e4319ebf11ba48817
plaque	plomb	Oui	Il fallait faire coulisser la dalle-couvercle, placer la dépouille sur la plaque de plomb, refermer la dalle et abaisser un levier.	s2469 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2469&idxml=LITT.fr.AYERDHAL.xml&user=userP&token=b5002a1b7138ffb396ca4c58b5e2cf89
coupole	plomb	Oui	Zolt fit établir au sommet de la colline une coupole en verre à base de plomb qui permettait de mieux observer ce qui se passait à la surface.	s5201 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s5201&idxml=LITT.fr.BARBET.xml&user=userP&token=0e4a2cc10d8e8f063016fad76e3fac2f
